Trading Name,Code,Last Price,ROE %,Market Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
SATS,S58,3.08,9.8273,4576.571,5821.100,19.012346,0.97,Industrials,118
SBS Transit,S61,2.76,10.0318,862.730,1559.728,12.277580,7.340000000000001,Industrials,94
SDAI,5TI,0.08,,33.973,0.464,,,Consumer Cyclical,40
Seatrium Ltd,5E2,2.06,2.4637,6974.258,9230.702,44.880174,0.73,Energy,
Secura,43B,0.052,7.4129000000000005,20.800,58.714,6.265060,2.64,Industrials,63
Sembcorp Ind,U96,6.64,20.3237,11815.047,6417.000,11.789773,3.46,Industrials,98
Sen Yue,5BS,0.022,-41.3913,21.654,49.910,,,Basic Materials,58
Serial Achieva,XHV,0.15,-221.89589999999998,25.466,79.497,,,Technology,
Serial System,S69,0.049,0.4095,44.337,788.663,63.578565,,Technology,84
Sevens Atelier,5EW,0.02,4.4604,4.298,7.508,28.571429,,Industrials,64
SGX,S68,13.98,32.6658,14965.861,1321.655,23.069307,2.58,Financial Services,106
Shanaya,SES,0.03,-32.56,6.769,7.739,,,Industrials,74
Shanghai Turbo,AWM,0.01,-52.3501,0.305,80.446,,,Industrials,49
Shangri-La HKD,S07,4.38,3.1018,15899.062,2185.356,12.419718,4.569999999999999,Consumer Cyclical,
Sheffield Green,SGR,0.175,1.2905,32.595,17.043,,2.29,Industrials,
Shen Yao,A78,0.002,18.0981,67.412,79.177,,,Basic Materials,63
Sheng Siong,OV8,1.8,26.7371,2706.367,1455.488,19.354839,3.56,Consumer Defensive,76
Shenshan,BKV,0.063,2.6172999999999997,5.029,85.010,1.472391,,Consumer Defensive,51
Shopper360,1F0,0.07,3.8497000000000003,7.616,183.952,6.786268,,Communication Services,77
SIA,C6L,7.12,17.3657,21162.583,19539.800,8.347011,6.74,Industrials,91
SIA Engineering,S59,2.72,8.1938,3040.508,1245.100,21.935484,2.94,Industrials,94
SIIC Environment,BHK,0.153,5.827999999999999,394.077,7595.654,3.653442,7.19,Utilities,59
Sim Leisure,URR,0.62,21.234,102.526,167.839,14.712098,1.4500000000000002,Consumer Cyclical,67
Sin Heng Mach,BKA,0.57,5.8641,61.988,50.281,9.913043,1.7500000000000002,Industrials,59
Sinarmas Land,A26,0.37,8.4339,1574.409,1509.302,6.250000,0.22,Real Estate,76
Sincap Grp,XZB,1,,8.505,0.000,,,Energy,
Sing Inv & Fin,S35,1.11,8.1039,262.447,132.748,7.221861,5.86,Financial Services,98
Sing Paincare,FRQ,0.141,9.0072,24.112,27.284,16.785714,,Healthcare,78
SingaporeKitchen,5WG,0.059,4.215,9.145,32.588,3.597561,,Consumer Cyclical,75
SingaporeLandGrp,U06,2,3.4254,2865.335,732.386,10.101010,2.25,Real Estate,93
SingHoldings,5IC,0.345,3.0769,138.343,14.971,14.139344,2.9000000000000004,Real Estate,60
SingPost,S08,0.555,15.8619,1249.454,813.704,5.686475,1.6199999999999999,Industrials,104
SingShipping,S19,0.27,7.5775,108.156,47.909,6.758795,3.6999999999999997,Industrials,79
Singtel,Z74,3.84,15.810599999999999,63365.113,14146.100,16.053512,3.02,Communication Services,108
Singtel 10,Z77,3.86,15.810599999999999,63365.113,14146.100,16.137124,,Communication Services,
Sino Grandness,T4B,0.02,-1.9067,22.988,1380.708,0.545218,,Consumer Defensive,42
SinoCloud Grp,LYY,0.013,-28.560000000000002,2.738,11.415,,,Technology,36
Sinostar Pec,C9Q,0.15,12.209200000000001,144.000,5298.169,3.970582,3.3300000000000005,Energy,64
Sitra,5LE,0.006,-15.0317,8.900,12.691,,,Consumer Cyclical,66
SLB Dev,1J0,0.23,-11.3445,209.990,0.952,,,Real Estate,56
Soilbuild Constr,V5Q,0.8,41.5713,132.373,391.806,4.708652,2.5,Industrials,
Soon Lian,5MD,0.16,14.2318,17.280,71.522,2.985075,1.8800000000000001,Basic Materials,60
Soup Holdings,5KI,0.066,-28.5566,18.436,38.412,,0.76,Consumer Cyclical,77
Southern Arch,A33,0.001,-5.8367,27.571,4.817,,,Industrials,52
Southern Pkg,BQP,0.35,-3.6775,24.612,687.917,,,Consumer Cyclical,67
SouthernAlliance,QNS,0.535,-1.2962,261.486,143.918,,,Basic Materials,77
Spackman,40E,0.001,1.9405,1.836,0.186,3.892565,,Communication Services,69
Spura Finance,S23,0.655,2.4,103.939,23.644,17.057292,3.05,Financial Services,80
Sri Trang Agro,NC2,0.52,3.2937000000000003,774.672,125080.909,7.541345,7.5600000000000005,Basic Materials,61
Sri Trang Gloves,STG,0.37,2.6416,733.807,25497.484,20.867610,5.3100000000000005,Basic Materials,
ST Engineering,S63,7.69,27.379900000000003,24007.441,11275.659,34.407159,2.21,Industrials,97
ST Group Food,DRX,0.122,3.9593000000000003,30.949,67.377,50.540466,3.94,Consumer Cyclical,62
Stamford Land,H07,0.375,0.6818000000000001,556.354,156.989,93.750000,1.3299999999999998,Consumer Cyclical,85
Stamford Tyres,S29,0.215,5.3443,51.038,187.784,10.643564,6.98,Consumer Cyclical,72
StarHub,CC3,1.14,27.282,1962.822,2367.700,12.954545,5.4399999999999995,Communication Services,90
Straco,S85,0.405,10.1485,346.464,81.504,12.735849,3.6999999999999997,Consumer Cyclical,67
Straits Trading,S20,1.4,-0.4986,631.127,564.627,,5.71,Basic Materials,69
SunMoonFood,AAJ,0.016,0.4135,14.452,31.042,21.917808,,Consumer Defensive,55
Sunpower,5GD,0.29,6.1019,230.749,3505.184,10.837052,,Utilities,61
Sunright,S71,0.191,3.0544000000000002,23.456,74.405,14.692308,,Technology,62
Suntar Eco-City,BKZ,0.122,8.6317,7.657,10.243,5.251813,,Consumer Defensive,47
SUTL Enterprise,BHU,0.765,12.572700000000001,67.832,39.620,7.943925,6.54,Consumer Cyclical,60
TA,PA3,0.073,20.4038,37.819,97.100,,,Industrials,68
Taka Jewellery,42L,0.103,8.2802,57.619,159.245,5.049020,1.7399999999999998,Consumer Cyclical,77
TalkMed,5G3,0.445,50.3128,591.976,78.181,13.608563,4.9399999999999995,Healthcare,68
Tat Seng Pkg,T12,0.825,9.559199999999999,129.690,253.938,6.886477,7.2700000000000005,Consumer Cyclical,76
TC Auto,VI2,0.036,-71.35249999999999,21.226,2554.466,,,Consumer Cyclical,49
TCIL HK$,T15,1.07,4.340999999999999,2275.039,12698.567,4.493910,6.069999999999999,Consumer Cyclical,
Teho Intl,5OQ,0.038,3.8547,8.946,64.344,4.750000,2.63,Energy,93
TeleChoice Intl,T41,0.096,12.532599999999999,43.620,380.401,10.786517,1.3,Communication Services,63
ThaiBev,Y92,0.47,15.5381,11811.329,342009.442,10.429118,5.24,Consumer Defensive,94
Thakral,AWI,1.48,18.436,188.050,288.807,6.569019,2.7,Consumer Cyclical,85
The Place Hldg,E27,0.004,-3.1046,23.523,0.000,,,Communication Services,67
TheHourGlass,AGS,1.61,15.302,1042.767,1162.874,7.688634,4.97,Consumer Cyclical,68
Thomson Medical,A50,0.043,3.0859,1136.966,382.100,4300.000000,,Healthcare,92
TIH,T55,0.225,13.749,54.379,11.136,3.069577,4.44,Financial Services,72
Tiong Seng,BFI,0.072,3.8731,33.198,536.043,11.612903,,Industrials,63
Tiong Woon,BQM,0.57,6.0418,132.146,146.658,6.785714,1.05,Industrials,94
TJ DaRenTang USD,T14,2.32,30.868000000000002,3079.112,6676.448,5.803947,7.64,Healthcare,44
Top Glove,BVA,0.245,-1.1094,1963.905,3240.158,80.519074,,Healthcare,
Tosei,S2D,9.5,13.8921,1079.057,93390.093,24.518297,0.8500000000000001,Real Estate,
Totm Tech,42F,0.013,-18.4592,17.745,8.855,,,Technology,71
Travelite,BCZ,0.155,13.037399999999998,14.670,42.984,5.849057,,Consumer Cyclical,60
Trek 2000 Intl,5AB,0.112,1.5396999999999998,34.412,19.850,62.281043,,Technology,66
Trendlines,42T,0.029,-13.5181,31.670,1.719,,,Financial Services,85
TrickleStar,CYW,0.025,-13.739799999999999,3.793,11.477,,,Technology,63
Tritech,5G9,0.008,-75.9487,9.452,26.710,,,Industrials,65
Triyards,RC5,0.084,,27.259,,,,Industrials,46
TSH,KUH,0.059,10.4551,2.617,11.752,3.072917,,Consumer Cyclical,54
TSH Resources,TSH,0.34,6.6983,441.367,1052.749,9.358522,2.2399999999999998,Consumer Defensive,
TT Intl,T09,0.014,,14.677,21.467,,,Consumer Cyclical,37
Tuan Sing,T24,0.24,0.1917,295.235,192.516,126.315789,2.92,Real Estate,89
Tye Soon,BFU,0.285,6.866,24.871,257.164,5.876289,6.710000000000001,Industrials,61
UGHealthcare,8K7,0.109,-3.5185,67.997,138.173,,,Healthcare,77
Uni-Asia Grp,CHJ,0.78,-21.3875,61.308,23.670,,3.85,Industrials,80
Union Gas,1F2,0.335,17.113500000000002,106.378,125.546,8.524173,4.42,Consumer Cyclical,80
UnionSteel,ZB9,0.56,15.329200000000002,66.155,119.993,5.495584,2.32,Industrials,
United Food,AZR,0.043,-0.3798,8.080,56.195,,,Consumer Defensive,28
Universal Res,BGO,0.17,,4.095,,,,Energy,41
UnUsUaL,1D1,0.072,16.312099999999997,74.101,27.728,,,Communication Services,64
UOA,EH5,0.47,4.961200000000001,742.397,327.236,10.119081,4.4799999999999995,Real Estate,
UOB,U11,35.95,12.4053,60147.060,14303.000,10.155367,5.01,Financial Services,111
UOB Kay Hian,U10,1.76,11.182400000000001,1645.700,532.695,7.207207,6.76,Financial Services,66
UOI,U13,7.75,6.5417000000000005,473.951,7.493,15.900698,2.19,Financial Services,90
UOL,U14,5.74,3.1731000000000003,4849.928,2794.764,13.540929,3.1399999999999997,Real Estate,101
USP Group,BRS,0.042,-5.4711,3.792,39.675,,,Industrials,37
V2Y Corp,V2Y,0.006,,2.691,0.911,,,Industrials,74
Vallianz,WPC,0.035,-70.0414,42.407,212.987,,,Industrials,44
ValueMax,T6I,0.53,17.7087,461.752,456.178,5.915179,5.06,Consumer Cyclical,73
Valuetronics,BN2,0.695,11.5575,283.642,1640.668,10.367576,3.16,Technology,80
VCPlus,43E,0.003,-122.33840000000001,16.112,0.771,,,Industrials,67
Venture,V03,10.98,8.5616,3160.705,2734.236,13.009479,6.83,Technology,74
Versalink,40N,0.039,-17.3539,5.265,39.878,,,Industrials,55
Vibrant Group,BIP,0.079,0.2688,53.888,147.580,7.523810,2.53,Industrials,69
VibroPower,BJD,0.024,2.6131,1.769,12.645,,,Industrials,48
VICOM Ltd,WJP,1.44,21.5587,510.578,117.156,17.433414,4.03,Consumer Cyclical,94
Vins Holdings,VIN,0.31,16.8882,41.300,107.319,15.513420,2.44,Consumer Cyclical,
Vividthree,OMK,0.018,-14.180000000000001,9.282,6.247,,,Communication Services,56
Wee Hur,E3B,0.42,8.5787,386.083,200.794,7.142857,2.3800000000000003,Industrials,71
Willas-Array,BDR,0.33,-28.3685,28.938,2495.255,,,Technology,73
Wilmar Intl,F34,3.05,5.8442,19040.336,67379.083,12.697673,5.25,Consumer Defensive,89
Wilton Resources,5F7,0.009,-15.689,23.616,2185.000,,,Basic Materials,71
Wing Tai,W05,1.24,-2.7092,946.028,184.148,,2.42,Real Estate,92
WinkingStudios,WKS,0.235,1.4697,103.486,31.899,121.967043,0.1,Communication Services,
Wong Fong Ind,1A1,0.167,6.473199999999999,39.245,65.652,10.844156,3.5900000000000003,Industrials,58
World Precision,B49,0.19,0.7139000000000001,76.000,1017.242,44.405443,36.26,Industrials,62
XMH,BQF,0.75,23.2189,82.233,124.172,6.550218,0.33,Industrials,69
Y Ventures,1F1,0.006,-23.524800000000003,2.962,23.537,,,Consumer Cyclical,69
Yamada Green Res,BJV,0.108,-12.1821,19.064,15.751,,,Real Estate,47
Yanlord Land,Z25,0.455,-10.5176,878.849,36396.694,,,Real Estate,73
Yeo Hiap Seng,Y03,0.55,1.187,343.434,328.570,49.549550,3.64,Consumer Defensive,79
YHI Intl,BPF,0.45,3.4313999999999996,131.272,406.515,13.719512,5.11,Consumer Cyclical,53
Ying Li Intl,5DM,0.023,-9.563,58.812,200.096,,,Real Estate,74
YKGI,YK9,0.096,25.8646,40.800,61.987,8.571429,7.5,Consumer Cyclical,70
Yoma Strategic,Z59,0.087,4.5233,207.800,204.444,22.576878,,Industrials,92
Yongmao,BKX,0.565,4.6738,50.144,773.536,20.419757,1.77,Industrials,52
Yunnan Energy,T43,0.062,0.29810000000000003,31.601,576.615,210.152675,,Technology,43
YZJ Fin Hldg,YF8,0.71,7.7103,2471.120,217.538,8.198614,4.859999999999999,Financial Services,62
YZJ Shipbldg CNY,SO7,11.52,28.097499999999997,45986.308,26541.716,6.860818,,Industrials,
YZJ Shipbldg SGD,BS6,2.08,28.097499999999997,8198.506,26541.716,6.948333,5.7700000000000005,Industrials,62
Zheneng Jinjiang,BWM,0.455,8.447799999999999,654.860,3731.074,5.992356,5.050000000000001,Utilities,69
Zhongmin Baihui,5SR,0.585,12.8081,112.111,947.056,12.743023,1.71,Consumer Cyclical,60
Zhongxin Fruit,5EG,0.036,1.6628,37.997,244.984,10.096395,,Consumer Defensive,50
ZICO Hldgs,40W,0.03,-21.2178,12.293,17.249,,,Industrials,74
Zixin,42W,0.034,2.6342999999999996,54.036,357.379,11.253965,,Consumer Defensive,69
Acro HTrust USD,XZL,0.245,-5.5649999999999995,142.125,168.778,,6.529999999999999,Real Estate,77.6
Asian Pay Tv Tr,S7OU,0.082,6.8976,148.121,252.018,3.094340,12.8,Communication Services,60.6
CapLand Ascott T,HMN,0.85,4.761,3239.680,809.520,14.285714,7.17,Real Estate,112.1
CapLand India T,CY6U,0.965,25.8054,1302.195,277.881,2.938490,7.090000000000001,Real Estate,106.9
CDL HTrust,J85,0.755,0.7742,950.465,260.259,66.228070,7.049999999999999,Real Estate,86.2
Dasin Retail Tr,CEDU,0.023,-31.007600000000004,18.503,71.823,,,Real Estate,74.6
Eagle HTrust USD,LIW,0.137,,119.567,,4.281250,,Real Estate,
Far East HTrust,Q5T,0.56,2.5118,1129.227,108.706,24.454148,7.21,Real Estate,110.5
Frasers HTrust,ACV,0.695,1.5945999999999998,1338.621,133.087,73.936170,3.16,Real Estate,85.4
FSL Trust,D8DU,0.04,18.079700000000003,70.722,8.454,6.625643,,Industrials,79.8
HPH Trust SGD,P7VU,0.205,2.5658,1801.495,11223.090,16.766051,,Industrials,
HPH Trust USD,NS8U,0.161,2.5658,1402.487,11223.090,16.913633,9.719999999999999,Industrials,79.7
Kep Infra Tr,A7RU,0.395,3.8441,2403.570,2214.231,37.264151,8.1,Basic Materials,90.6
NetLink NBN Tr,CJLU,0.875,3.8792,3409.850,406.996,35.714286,6.13,Communication Services,106.5
AIMS APAC Reit,O5RU,1.3,2.2283,1058.192,186.626,32.258065,7.380000000000001,Real Estate,93.8
BHG Retail Reit,BMGU,0.44,-0.6086,228.625,60.957,,1.1400000000000001,Real Estate,80.8
CapLand Ascendas REIT,A17U,2.61,7.3602,11485.386,1523.046,15.193853,5.83,Real Estate,109.6
CapLand China T,AU8U,0.695,-0.8674,1209.286,341.529,,8.129999999999999,Real Estate,98.3
CapLand IntCom T,C38U,2.08,6.2823,15219.675,1586.329,15.327929,5.220000000000001,Real Estate,106.5
Daiwa Hse Log Tr,DHLU,0.565,6.330900000000001,394.890,57.100,11.345382,7.5200000000000005,Real Estate,71.8
DigiCore Reit USD,DCRU,0.49,22.3907,637.144,102.274,3.153153,6.36,Real Estate,86.3
EC World Reit,BWCU,0.28,-102.20450000000001,226.755,79.591,5.995717,14.45,Real Estate,70.2
EliteUKREIT GBP,MXNU,0.32,9.1411,190.819,39.076,9.116809,8.97,Real Estate,76.6
ESR REIT,9A4U,2.23,-5.4995,1790.499,370.504,,9.5,Real Estate,
First Reit,AW9U,0.26,5.4305,545.685,102.210,15.476190,9,Real Estate,83
Frasers Cpt Tr,J69U,2.2,4.8572999999999995,4449.257,363.912,19.260232,5.52,Real Estate,78.4
Frasers L&C Tr,BUOU,0.79,3.4112999999999998,2978.256,462.974,22.191011,8,Real Estate,98.3
IREIT Global EUR,8U7U,0.17,1.6016,280.426,75.573,25.781250,,Real Estate,
IREIT Global SGD,UD1U,0.305,1.6016,410.175,75.573,32.581330,9.02,Real Estate,87.9
KepPacOakReitUSD,CMOU,0.189,-0.9578,197.401,142.615,,,Real Estate,100
Keppel DC Reit,AJBU,2.17,10.5814,4896.183,310.287,12.697484,4.33,Real Estate,96.4
Keppel DC Reit A,X1JU,0,,,,,,,
Keppel Reit,K71U,0.855,1.8852,3317.815,261.580,33.011583,6.550000000000001,Real Estate,87.4
Lendlease Reit,JYEU,0.475,2.6231,1162.168,204.582,19.709544,7.51,Real Estate,95
Lippo Malls Tr,D5IU,0.013,-5.2335,100.059,195.229,,,Real Estate,76.6
ManulifeReit USD,BTOU,0.063,-34.2555,111.924,167.582,,,Real Estate,91.9
Mapletree Ind Tr,ME8U,1.93,6.4091,5503.832,681.062,16.342083,7.03,Real Estate,84.8
Mapletree Log Tr,M44U,1.1,2.4992,5582.664,714.780,30.136986,7.32,Real Estate,90.3
Mapletree PanAsia Com Tr,N2IU,1.17,6.1262,6163.069,844.716,10.453148,6.8500000000000005,Real Estate,81.1
OUEREIT,TS0U,0.28,-2.1704,1541.939,295.521,,7.359999999999999,Real Estate,85.3
PARAGONREIT,SK6U,0.975,11.053799999999999,2768.035,300.954,9.036145,4.77,Real Estate,92.2
ParkwayLife Reit,C2PU,4.07,6.369,2655.351,144.848,26.241135,3.6700000000000004,Real Estate,82
Prime US ReitUSD,OXMU,0.133,1.1257,173.998,132.370,21.451613,2.18,Real Estate,84.7
Sabana Reit,M1GU,0.375,1.9924000000000002,421.896,113.308,37.128713,7.630000000000001,Real Estate,84.2
Sasseur Reit,CRPU,0.63,5.4489,790.975,123.726,14.009340,9.65,Real Estate,91.2
StarhillGbl Reit,P40U,0.5,3.614,1148.713,191.463,23.696682,7.3,Real Estate,93.6
Stoneweg Reit EUR,CWBU,1.48,2.6952,831.839,212.919,25.106022,9.53,Real Estate,
Stoneweg Reit SGD,CWCU,2.16,2.6952,1216.720,212.919,25.050643,,Real Estate,103.5
Suntec Reit,T82U,1.13,1.7610000000000001,3315.343,463.556,29.343028,5.53,Real Estate,85.1
UtdHampshReitUSD,ODBU,0.44,6.856800000000001,262.618,72.763,8.593750,9.25,Real Estate,87.2